subject,block,condition,target_distance,type,percived_distance,rel_bias,abs_bias,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
S001,3,Ear level,2,NORMAL,0.517,-0.7415,-1.483,0.6922210629560472,0.3095706704453766,0.47917,5,0.517,0.3461105314780236,0.1547853352226883,0.1197925,5,-0.7415,0.6922210629560472,0.3095706704453766,0.47917,5
S002,3,Ear level,2,NORMAL,1.46,-0.27,-0.54,0.20736441353327723,0.09273618495495704,0.043000000000000003,5,1.46,0.10368220676663861,0.04636809247747852,0.010750000000000001,5,-0.27,0.20736441353327723,0.09273618495495704,0.043000000000000003,5
S003,3,Ear level,2,NORMAL,8.02,3.01,6.02,7.35540617505247,3.2894376419078077,54.102,5,8.02,3.677703087526235,1.6447188209539039,13.5255,5,3.01,7.35540617505247,3.2894376419078077,54.102,5
S004,3,Ear level,2,NORMAL,2.7,0.35,0.7,0.6708203932499369,0.3,0.45,5,2.7,0.33541019662496846,0.15,0.1125,5,0.35,0.6708203932499369,0.3,0.45,5
S005,3,Ear level,2,NORMAL,1.8,-0.1,-0.2,0.27386127875258304,0.12247448713915889,0.075,5,1.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.1,0.27386127875258304,0.12247448713915889,0.075,5
S006,3,Ear level,2,NORMAL,1.4,-0.3,-0.6,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.5477225575051661,0.24494897427831777,0.3,5
S007,3,Ear level,2,NORMAL,1.3,-0.35,-0.7,0.27386127875258304,0.12247448713915889,0.075,5,1.3,0.13693063937629152,0.06123724356957944,0.01875,5,-0.35,0.27386127875258304,0.12247448713915889,0.075,5
S008,3,Ear level,2,NORMAL,1.8,-0.1,-0.2,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.4183300132670378,0.18708286933869706,0.175,5,-0.1,0.8366600265340756,0.3741657386773941,0.7,5
S009,3,Ear level,2,NORMAL,0.6599999999999999,-0.67,-1.34,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.6599999999999999,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,-0.67,0.08944271909999157,0.039999999999999994,0.007999999999999997,5
S010,3,Ear level,2,NORMAL,4.8,1.4,2.8,1.4404860290887933,0.6442049363362562,2.075,5,4.8,0.7202430145443967,0.3221024681681281,0.51875,5,1.4,1.4404860290887933,0.6442049363362562,2.075,5
S011,3,Ear level,2,NORMAL,1.8,-0.1,-0.2,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.4183300132670378,0.18708286933869706,0.175,5,-0.1,0.8366600265340756,0.3741657386773941,0.7,5
S012,3,Ear level,2,NORMAL,4.8,1.4,2.8,2.4899799195977463,1.1135528725660042,6.2,5,4.8,1.2449899597988732,0.5567764362830021,1.55,5,1.4,2.4899799195977463,1.1135528725660042,6.2,5
S013,3,Ear level,2,NORMAL,0.563,-0.7635,-1.527,0.3482033250208211,0.11011155959096917,0.12124555555555555,10,0.563,0.20606161430234618,0.06516240395265423,0.04246138888888888,10,-0.7635,0.41212322860469236,0.13032480790530845,0.16984555555555553,10
S015,3,Ear level,2,NORMAL,1.514,-0.243,-0.486,0.584393322647988,0.18480139489613043,0.3415155555555555,10,1.514,0.292196661323994,0.09240069744806521,0.08537888888888888,10,-0.243,0.584393322647988,0.18480139489613043,0.3415155555555555,10
S017,3,Ear level,2,NORMAL,3.2,0.6,1.2,0.44721359549995793,0.19999999999999998,0.2,5,3.2,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.44721359549995793,0.19999999999999998,0.2,5
S018,3,Ear level,2,NORMAL,4.4,1.2,2.4,1.140175425099138,0.5099019513592785,1.3,5,4.4,0.570087712549569,0.25495097567963926,0.325,5,1.2,1.140175425099138,0.5099019513592785,1.3,5
S001,0,Floor level,2,NORMAL,0.19166666666666668,-0.9041666666666667,-1.8083333333333333,0.20595306908775762,0.08407998837086293,0.042416666666666665,6,0.19166666666666668,0.10297653454387883,0.04203999418543147,0.010604166666666668,6,-0.9041666666666667,0.20595306908775765,0.08407998837086295,0.04241666666666667,6
S002,0,Floor level,2,NORMAL,0.7,-0.65,-1.3,0.21602468994692867,0.10801234497346433,0.04666666666666667,4,0.7,0.10801234497346433,0.05400617248673217,0.011666666666666665,4,-0.65,0.21602468994692867,0.10801234497346433,0.04666666666666666,4
S003,0,Floor level,2,NORMAL,1.6,-0.2,-0.4,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.44721359549995793,0.19999999999999998,0.2,5,-0.2,0.8944271909999159,0.39999999999999997,0.8,5
S004,0,Floor level,2,NORMAL,1.04,-0.48,-0.96,0.3781534080237808,0.16911534525287764,0.14300000000000002,5,1.04,0.18907670401189036,0.0845576726264388,0.03575,5,-0.48,0.3781534080237807,0.1691153452528776,0.143,5
S005,0,Floor level,2,NORMAL,1.1666666666666667,-0.4166666666666667,-0.8333333333333334,0.5163977794943222,0.21081851067789195,0.26666666666666666,6,1.1666666666666667,0.2581988897471611,0.10540925533894598,0.06666666666666667,6,-0.4166666666666667,0.5163977794943222,0.21081851067789195,0.26666666666666666,6
S006,0,Floor level,2,NORMAL,1,-0.5,-1,0,0,0,4,1,0,0,0,4,-0.5,0,0,0,4
S007,0,Floor level,2,NORMAL,1.1,-0.45,-0.9,0.22360679774997896,0.09999999999999999,0.05,5,1.1,0.11180339887498948,0.049999999999999996,0.0125,5,-0.45,0.22360679774997896,0.09999999999999999,0.05,5
S008,0,Floor level,2,NORMAL,1.6,-0.2,-0.4,0.5477225575051661,0.24494897427831777,0.3,5,1.6,0.27386127875258304,0.12247448713915889,0.075,5,-0.2,0.5477225575051661,0.24494897427831777,0.3,5
S009,0,Floor level,2,NORMAL,1.85,-0.07500000000000001,-0.15000000000000002,0.10488088481701514,0.04281744192888376,0.010999999999999998,6,1.85,0.05244044240850757,0.02140872096444188,0.0027499999999999994,6,-0.07500000000000001,0.10488088481701514,0.04281744192888376,0.010999999999999998,6
S010,0,Floor level,2,NORMAL,2,0,0,1.224744871391589,0.6123724356957945,1.5,4,2,0.6123724356957945,0.30618621784789724,0.375,4,0,1.224744871391589,0.6123724356957945,1.5,4
S011,0,Floor level,2,NORMAL,1,-0.5,-1,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5
S012,0,Floor level,2,NORMAL,1.2,-0.4,-0.8,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.22360679774997896,0.09999999999999999,0.05,5,-0.4,0.44721359549995793,0.19999999999999998,0.2,5
S013,0,Floor level,2,NORMAL,0.9166666666666666,-0.5416666666666666,-1.0833333333333333,0.5573204290227127,0.16088454986057046,0.3106060606060606,12,0.9166666666666666,0.27866021451135636,0.08044227493028523,0.07765151515151515,12,-0.5416666666666666,0.5573204290227127,0.16088454986057046,0.3106060606060606,12
S015,0,Floor level,2,NORMAL,1.12,-0.44,-0.88,0.38239014399199966,0.12092238098144703,0.14622222222222223,10,1.12,0.19119507199599983,0.060461190490723515,0.03655555555555556,10,-0.44,0.38239014399199966,0.12092238098144703,0.14622222222222225,10
S017,0,Floor level,2,NORMAL,2.3333333333333335,0.16666666666666666,0.3333333333333333,0.5163977794943222,0.21081851067789195,0.26666666666666666,6,2.3333333333333335,0.2581988897471611,0.10540925533894598,0.06666666666666667,6,0.16666666666666666,0.5163977794943222,0.21081851067789195,0.26666666666666666,6
S018,0,Floor level,2,NORMAL,1,-0.5,-1,0,0,0,4,1,0,0,0,4,-0.5,0,0,0,4
S001,3,Ear level,2.9,NORMAL,0.628,-0.783448275862069,-2.272,0.8716478646793095,0.3898127755730948,0.75977,5,0.628,0.30056822919976195,0.134418198473481,0.09034126040428064,5,-0.783448275862069,0.8716478646793097,0.38981277557309485,0.7597700000000001,5
S002,3,Ear level,2.9,NORMAL,0.98,-0.6620689655172414,-1.92,0.21679483388678802,0.09695359714832659,0.047000000000000014,5,0.98,0.07475683927130623,0.03343227487873331,0.005588585017835914,5,-0.6620689655172414,0.2167948338867881,0.09695359714832663,0.04700000000000005,5
S003,3,Ear level,2.9,NORMAL,3.412,0.17655172413793105,0.512,2.489722876145054,1.113437919239326,6.19872,5,3.412,0.858525129705191,0.3839441100825262,0.737065398335315,5,0.17655172413793105,2.489722876145054,1.113437919239326,6.198719999999999,5
S004,3,Ear level,2.9,NORMAL,2.5,-0.1379310344827586,-0.3999999999999999,0.5,0.22360679774997896,0.25,5,2.5,0.17241379310344826,0.07710579232757894,0.029726516052318665,5,-0.1379310344827586,0.5,0.22360679774997896,0.25,5
S005,3,Ear level,2.9,NORMAL,2,-0.31034482758620685,-0.8999999999999999,0.3535533905932738,0.15811388300841897,0.125,5,2,0.12191496227354268,0.05452202862359275,0.014863258026159334,5,-0.31034482758620685,0.3535533905932738,0.15811388300841897,0.125,5
S006,3,Ear level,2.9,NORMAL,1.2,-0.5862068965517241,-1.7,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.1542115846551579,0.06896551724137931,0.02378121284185494,5,-0.5862068965517241,0.44721359549995793,0.19999999999999998,0.2,5
S007,3,Ear level,2.9,NORMAL,1.3,-0.5517241379310345,-1.5999999999999999,0.27386127875258304,0.12247448713915889,0.075,5,1.3,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,-0.5517241379310345,0.27386127875258304,0.12247448713915889,0.075,5
S008,3,Ear level,2.9,NORMAL,1.8,-0.3793103448275862,-1.0999999999999999,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.2885034574255433,0.12902266850944624,0.08323424494649227,5,-0.3793103448275862,0.8366600265340756,0.3741657386773941,0.7,5
S009,3,Ear level,2.9,NORMAL,0.9400000000000001,-0.6758620689655171,-1.9599999999999997,0.1341640786499874,0.06,0.018000000000000002,5,0.9400000000000001,0.04626347539654735,0.020689655172413782,0.002140309155766942,5,-0.6758620689655171,0.13416407864998728,0.05999999999999995,0.01799999999999997,5
S010,3,Ear level,2.9,NORMAL,5.12,0.7655172413793103,2.22,1.1519548602267364,0.5151698748956502,1.3269999999999997,5,5.12,0.39722581387128847,0.17764478444677598,0.1577883472057075,5,0.7655172413793103,1.1519548602267364,0.5151698748956502,1.3269999999999997,5
S011,3,Ear level,2.9,NORMAL,1.9,-0.3448275862068965,-0.9999999999999999,0.22360679774997896,0.09999999999999999,0.05,5,1.9,0.07710579232757896,0.034482758620689655,0.005945303210463735,5,-0.3448275862068965,0.22360679774997896,0.09999999999999999,0.05,5
S012,3,Ear level,2.9,NORMAL,7.8,1.6896551724137931,4.8999999999999995,0.44721359549995793,0.19999999999999998,0.2,5,7.8,0.1542115846551579,0.06896551724137931,0.02378121284185494,5,1.6896551724137931,0.44721359549995793,0.19999999999999998,0.2,5
S013,3,Ear level,2.9,NORMAL,0.712,-0.77,-2.233,0.40013331111851547,0.1265332630839285,0.16010666666666667,10,0.712,0.15481056148878874,0.04895539801541199,0.02396630994847404,10,-0.77,0.4489506283174874,0.14197065424469477,0.2015566666666667,10
S015,3,Ear level,2.9,NORMAL,1.544,-0.4675862068965517,-1.3559999999999999,0.3985306345397637,0.12602645224978232,0.15882666666666667,10,1.544,0.13742435673784953,0.043457397327511145,0.018885453824811733,10,-0.4675862068965517,0.3985306345397637,0.12602645224978232,0.15882666666666667,10
S017,3,Ear level,2.9,NORMAL,4.6,0.5862068965517242,1.7000000000000002,1.3416407864998738,0.6,1.8,5,4.6,0.46263475396547377,0.20689655172413793,0.21403091557669446,5,0.5862068965517242,1.3416407864998738,0.6,1.8,5
S018,3,Ear level,2.9,NORMAL,3.8,0.31034482758620696,0.9000000000000001,1.6431676725154984,0.7348469228349535,2.7,5,3.8,0.5666095422467236,0.2533954906327425,0.32104637336504166,5,0.31034482758620696,1.6431676725154984,0.7348469228349535,2.7,5
