nsub,bloque,altura,condicion,itrial,distancia,respuesta
18.0,5.0,1.0,2.0,3.0,4.2,3.0
18.0,5.0,1.0,2.0,4.0,6.0,5.0
18.0,5.0,1.0,2.0,1.0,2.0,2.0
18.0,5.0,1.0,2.0,4.0,6.0,2.0
18.0,5.0,1.0,2.0,3.0,4.2,5.0
18.0,5.0,1.0,2.0,1.0,2.0,3.0
18.0,5.0,1.0,2.0,3.0,4.2,3.0
18.0,5.0,1.0,2.0,4.0,6.0,5.0
18.0,5.0,1.0,2.0,3.0,4.2,5.0
18.0,5.0,1.0,2.0,4.0,6.0,3.0
18.0,5.0,1.0,2.0,2.0,2.9,4.0
18.0,5.0,1.0,2.0,4.0,6.0,5.0
18.0,5.0,1.0,2.0,3.0,4.2,5.0
18.0,5.0,1.0,2.0,2.0,2.9,6.0
18.0,5.0,1.0,2.0,1.0,2.0,3.0
18.0,5.0,1.0,2.0,2.0,2.9,4.0
18.0,5.0,1.0,2.0,2.0,2.9,4.0
18.0,5.0,1.0,2.0,3.0,4.2,5.0
18.0,5.0,1.0,2.0,1.0,2.0,3.0
18.0,5.0,1.0,2.0,2.0,2.9,4.0
