nsub,bloque,altura,condicion,itrial,distancia,respuesta
1.0,3.0,1.0,0.0,4.0,6.0,2.5
1.0,3.0,1.0,0.0,1.0,2.0,0.05
1.0,3.0,1.0,0.0,2.0,2.9,0.03
1.0,3.0,1.0,0.0,1.0,2.0,0.02
1.0,3.0,1.0,0.0,3.0,4.2,0.01
1.0,3.0,1.0,0.0,1.0,2.0,0.015
1.0,3.0,1.0,0.0,4.0,6.0,4.0
1.0,3.0,1.0,0.0,4.0,6.0,5.0
1.0,3.0,1.0,0.0,1.0,2.0,1.0
1.0,3.0,1.0,0.0,3.0,4.2,0.03
1.0,3.0,1.0,0.0,2.0,2.9,0.01
1.0,3.0,1.0,0.0,4.0,6.0,2.0
1.0,3.0,1.0,0.0,3.0,4.2,4.0
1.0,3.0,1.0,0.0,3.0,4.2,5.0
1.0,3.0,1.0,0.0,2.0,2.9,2.0
1.0,3.0,1.0,0.0,4.0,6.0,5.0
1.0,3.0,1.0,0.0,3.0,4.2,2.5
1.0,3.0,1.0,0.0,2.0,2.9,1.0
1.0,3.0,1.0,0.0,1.0,2.0,1.5
1.0,3.0,1.0,0.0,2.0,2.9,0.1
