nsub,bloque,altura,condicion,itrial,distancia,respuesta
22.0,0.0,0.0,0.0,2.0,2.9,3.0
22.0,0.0,0.0,0.0,3.0,4.2,4.0
22.0,0.0,0.0,0.0,4.0,6.0,2.5
22.0,0.0,0.0,0.0,1.0,2.0,1.5
22.0,0.0,0.0,0.0,4.0,6.0,6.0
22.0,0.0,0.0,0.0,1.0,2.0,2.3
22.0,0.0,0.0,0.0,4.0,6.0,5.0
22.0,0.0,0.0,0.0,4.0,6.0,5.5
22.0,0.0,0.0,0.0,2.0,2.9,3.2
22.0,0.0,0.0,0.0,2.0,2.9,3.0
22.0,0.0,0.0,0.0,3.0,4.2,4.0
22.0,0.0,0.0,0.0,3.0,4.2,4.5
22.0,0.0,0.0,0.0,2.0,2.9,3.0
22.0,0.0,0.0,0.0,1.0,2.0,1.5
22.0,0.0,0.0,0.0,3.0,4.2,4.0
22.0,0.0,0.0,0.0,2.0,2.9,2.5
22.0,0.0,0.0,0.0,1.0,2.0,1.5
22.0,0.0,0.0,0.0,2.0,2.9,2.5
22.0,0.0,0.0,0.0,3.0,4.2,4.0
22.0,0.0,0.0,0.0,4.0,6.0,5.5
