nsub,bloque,altura,condicion,itrial,distancia,respuesta
13.0,3.0,1.0,0.0,4.0,6.0,2.0
13.0,3.0,1.0,0.0,1.0,2.0,0.7
13.0,3.0,1.0,0.0,2.0,2.9,1.0
13.0,3.0,1.0,0.0,1.0,2.0,0.5
13.0,3.0,1.0,0.0,4.0,6.0,1.6
13.0,3.0,1.0,0.0,1.0,2.0,0.5
13.0,3.0,1.0,0.0,4.0,6.0,1.6
13.0,3.0,1.0,0.0,2.0,2.9,1.0
13.0,3.0,1.0,0.0,3.0,4.2,1.6
13.0,3.0,1.0,0.0,3.0,4.2,1.8
13.0,3.0,1.0,0.0,3.0,4.2,1.7
13.0,3.0,1.0,0.0,4.0,6.0,1.6
13.0,3.0,1.0,0.0,2.0,2.9,1.0
13.0,3.0,1.0,0.0,4.0,6.0,1.6
13.0,3.0,1.0,0.0,2.0,2.9,0.5
13.0,3.0,1.0,0.0,3.0,4.2,1.6
13.0,3.0,1.0,0.0,3.0,4.2,1.0
13.0,3.0,1.0,0.0,2.0,2.9,0.5
13.0,3.0,1.0,0.0,1.0,2.0,0.3
13.0,3.0,1.0,0.0,1.0,2.0,0.2
