nsub,bloque,altura,condicion,itrial,distancia,respuesta
3.0,0.0,0.0,0.0,3.0,4.2,1.6
3.0,0.0,0.0,0.0,2.0,2.9,2.0
3.0,0.0,0.0,0.0,1.0,2.0,1.0
3.0,0.0,0.0,0.0,3.0,4.2,2.1
3.0,0.0,0.0,0.0,4.0,6.0,2.3
3.0,0.0,0.0,0.0,2.0,2.9,1.8
3.0,0.0,0.0,0.0,4.0,6.0,2.0
3.0,0.0,0.0,0.0,4.0,6.0,2.6
3.0,0.0,0.0,0.0,1.0,2.0,0.7
3.0,0.0,0.0,0.0,2.0,2.9,1.8
3.0,0.0,0.0,0.0,1.0,2.0,1.0
3.0,0.0,0.0,0.0,3.0,4.2,3.0
3.0,0.0,0.0,0.0,1.0,2.0,2.1
3.0,0.0,0.0,0.0,3.0,4.2,2.0
3.0,0.0,0.0,0.0,4.0,6.0,2.9
3.0,0.0,0.0,0.0,4.0,6.0,3.0
3.0,0.0,0.0,0.0,2.0,2.9,1.5
3.0,0.0,0.0,0.0,3.0,4.2,1.9
3.0,0.0,0.0,0.0,1.0,2.0,1.1
3.0,0.0,0.0,0.0,3.0,4.2,1.8
