nsub,bloque,altura,condicion,itrial,distancia,respuesta
5.0,5.0,1.0,2.0,2.0,2.9,5.0
5.0,5.0,1.0,2.0,2.0,2.9,6.0
5.0,5.0,1.0,2.0,2.0,2.9,9.0
5.0,5.0,1.0,2.0,1.0,2.0,6.0
5.0,5.0,1.0,2.0,1.0,2.0,4.0
5.0,5.0,1.0,2.0,1.0,2.0,3.0
5.0,5.0,1.0,2.0,3.0,4.2,6.0
5.0,5.0,1.0,2.0,2.0,2.9,7.0
5.0,5.0,1.0,2.0,3.0,4.2,10.0
5.0,5.0,1.0,2.0,3.0,4.2,17.0
5.0,5.0,1.0,2.0,4.0,6.0,18.0
5.0,5.0,1.0,2.0,1.0,2.0,12.0
5.0,5.0,1.0,2.0,4.0,6.0,18.0
5.0,5.0,1.0,2.0,2.0,2.9,7.0
5.0,5.0,1.0,2.0,3.0,4.2,8.0
5.0,5.0,1.0,2.0,2.0,2.9,7.0
5.0,5.0,1.0,2.0,3.0,4.2,13.0
5.0,5.0,1.0,2.0,1.0,2.0,4.0
5.0,5.0,1.0,2.0,4.0,6.0,14.0
5.0,5.0,1.0,2.0,4.0,6.0,15.0
