subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_mean,log_bias_sd_un,log_bias_sem_un,log_bias_var_un,log_bias_n_un,log_bias_un_mean,antilog_bias_sd,antilog_bias_sem,antilog_bias_var,antilog_bias_n,antilog_bias_mean,absantilog_bias_sd,absantilog_bias_sem,absantilog_bias_var,absantilog_bias_n,absantilog_bias_mean,antilog_bias_sd_un,antilog_bias_sem_un,antilog_bias_var_un,antilog_bias_n_un,antilog_bias_un_mean,antilog_bias_sd_un_p,antilog_bias_sem_un_p,antilog_bias_var_un_p,antilog_bias_n_un_p,antilog_bias_un_p_mean,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,abs_bias_mean
T001,3,Ear level,2,NORMAL,sitting,0.5477225575051661,0.24494897427831777,0.3,5,1.1,0.27386127875258304,0.12247448713915889,0.075,5,-0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.2128603512745581,0.09519404303287918,0.04530952914472827,5,-0.3010299956639812,0.2128603512745581,0.09519404303287918,0.04530952914472827,5,0.3010299956639812,0.27386127875258304,0.12247448713915889,0.075,5,-0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,1.0954451150103321,0.48989794855663554,1.2,5,2.2,1.0954451150103321,0.48989794855663554,1.2,5,1.2,0.5477225575051661,0.24494897427831777,0.3,5,-0.9
T002,3,Ear level,2,NORMAL,sitting,0.4878524367060187,0.21817424229271426,0.238,5,1.26,0.24392621835300934,0.10908712114635713,0.0595,5,-0.37,0.24392621835300934,0.10908712114635713,0.0595,5,0.37,0.159770634631115,0.07145159996869102,0.025526655690429244,5,-0.22498774732166,0.159770634631115,0.07145159996869102,0.025526655690429244,5,0.22498774732166,0.24392621835300934,0.10908712114635713,0.0595,5,-0.37,0.24392621835300934,0.10908712114635713,0.0595,5,0.37,0.5962847939999439,0.26666666666666666,0.35555555555555557,5,1.7666666666666666,0.5962847939999439,0.26666666666666666,0.35555555555555557,5,0.7666666666666666,0.4878524367060187,0.21817424229271426,0.238,5,-0.74
T003,3,Ear level,2,NORMAL,sitting,0.8944271909999159,0.39999999999999997,0.8,5,2.4,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.20815589445805957,0.09309014598509859,0.04332887639763483,5,0.0454487563006125,0.10734815241836632,0.048007553213295105,0.011523625827636805,5,0.16586075456620497,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.3535533905932738,0.15811388300841897,0.125,5,0.5,0.8944271909999159,0.39999999999999997,0.8,5,0.4
T004,3,Ear level,2,NORMAL,sitting,0.33541019662496846,0.15,0.1125,5,0.65,0.16770509831248423,0.075,0.028125,5,-0.675,0.16770509831248423,0.075,0.028125,5,0.675,0.2518597641597791,0.11263511069166626,0.06343334080261957,5,-0.5418539921951662,0.2518597641597791,0.11263511069166626,0.06343334080261957,5,0.5418539921951662,0.16770509831248423,0.075,0.028125,5,-0.675,0.16770509831248423,0.075,0.028125,5,0.675,2.449489742783178,1.0954451150103321,5.999999999999998,5,4,2.449489742783178,1.0954451150103321,5.999999999999998,5,3,0.33541019662496846,0.15,0.1125,5,-1.35
T005,3,Ear level,2,NORMAL,sitting,0.7071067811865476,0.31622776601683794,0.5,5,5,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.06244669429058817,0.02792701068078063,0.003899589627822177,5,0.3943942552799513,0.06244669429058817,0.02792701068078063,0.003899589627822177,5,0.3943942552799513,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.3535533905932738,0.15811388300841897,0.125,5,2.5,0.3535533905932738,0.15811388300841897,0.125,5,1.5,0.7071067811865476,0.31622776601683794,0.5,5,3
T006,3,Ear level,2,NORMAL,sitting,0.7071067811865476,0.31622776601683794,0.5,5,2,0.3535533905932738,0.15811388300841897,0.125,5,0,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.17212295911950268,0.07697572741592507,0.029626313056053986,5,-0.02498774732165999,0.13792955762292086,0.061683973390265066,0.019024562866054643,5,0.09542425094393249,0.3535533905932738,0.15811388300841897,0.125,5,0,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,1.3,0.44721359549995793,0.19999999999999998,0.2,5,0.3,0.7071067811865476,0.31622776601683794,0.5,5,0
T007,3,Ear level,2,NORMAL,sitting,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5,-0.3010299956639812,0,0,0,5,0.3010299956639812,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5,2,0,0,0,5,1,0,0,0,5,-1
T008,3,Ear level,2,NORMAL,sitting,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.11180339887498948,0.049999999999999996,0.0125,5,-0.7,0.11180339887498948,0.049999999999999996,0.0125,5,0.7,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,-0.5418539921951662,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.5418539921951662,0.11180339887498948,0.049999999999999996,0.0125,5,-0.7,0.11180339887498948,0.049999999999999996,0.0125,5,0.7,0.8944271909999159,0.39999999999999997,0.8,5,3.6,0.8944271909999159,0.39999999999999997,0.8,5,2.6,0.22360679774997896,0.09999999999999999,0.05,5,-1.4
T009,3,Ear level,2,NORMAL,sitting,0.6519202405202649,0.291547594742265,0.425,5,0.9,0.32596012026013244,0.1457737973711325,0.10625,5,-0.55,0.32596012026013244,0.1457737973711325,0.10625,5,0.55,0.26924941342845155,0.12041199826559247,0.07249524663156523,5,-0.42144199392957366,0.26924941342845155,0.12041199826559247,0.07249524663156523,5,0.42144199392957366,0.32596012026013244,0.1457737973711325,0.10625,5,-0.55,0.32596012026013244,0.1457737973711325,0.10625,5,0.55,1.4142135623730951,0.6324555320336759,2,5,3,1.4142135623730951,0.6324555320336759,2,5,2,0.6519202405202649,0.291547594742265,0.425,5,-1.1
T010,3,Ear level,2,NORMAL,sitting,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.6,0.13693063937629152,0.06123724356957944,0.01875,5,0.6,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,-0.42144199392957366,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.42144199392957366,0.13693063937629152,0.06123724356957944,0.01875,5,-0.6,0.13693063937629152,0.06123724356957944,0.01875,5,0.6,1.0954451150103321,0.48989794855663554,1.2,5,2.8,1.0954451150103321,0.48989794855663554,1.2,5,1.8,0.27386127875258304,0.12247448713915889,0.075,5,-1.2
