subject,block,condition,target_distance,type,location,log_bias,log_bias_un,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_sd_un,log_bias_sem_un,log_bias_var_un,log_bias_n_un,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,slope,intercepto
S002,0,Floor level,2,NORMAL,standing,-0.47047517198050137,0.47047517198050137,0.21602468994692867,0.10801234497346433,0.04666666666666667,4,0.7,0.10801234497346433,0.05400617248673217,0.011666666666666665,4,-0.65,0.10801234497346433,0.05400617248673217,0.011666666666666665,4,0.65,0.127780895931898,0.063890447965949,0.01632795736515855,4,0.127780895931898,0.063890447965949,0.01632795736515855,4,0.21602468994692867,0.10801234497346433,0.04666666666666666,4,0.2169383807681681,0.35855761260016505
S002,0,Floor level,2.9,NORMAL,standing,-0.4993727895016821,0.4993727895016821,0.23452078799117146,0.09574271077563382,0.05499999999999999,6,0.95,0.080869237238335,0.03301472785366684,0.006539833531510109,6,-0.6724137931034483,0.080869237238335,0.03301472785366684,0.006539833531510109,6,0.6724137931034483,0.1331810172139565,0.05437092259983606,0.017737183346144176,6,0.1331810172139565,0.05437092259983606,0.017737183346144176,6,0.23452078799117146,0.09574271077563382,0.05499999999999999,6,0.2169383807681681,0.35855761260016505
S002,0,Floor level,4.2,NORMAL,standing,-0.44086018020026924,0.44086018020026924,0.260768096208106,0.11661903789690602,0.06800000000000002,5,1.54,0.062087641954310914,0.02776643759450142,0.003854875283446709,5,-0.6333333333333334,0.062087641954310914,0.02776643759450142,0.003854875283446709,5,0.6333333333333334,0.07521696979848766,0.03363805150619341,0.005657592545666604,5,0.07521696979848766,0.03363805150619341,0.005657592545666604,5,0.2607680962081058,0.11661903789690595,0.06799999999999994,5,0.2169383807681681,0.35855761260016505
S002,0,Floor level,6,NORMAL,standing,-0.5964542466079137,0.5964542466079137,0.044721359549995836,0.020000000000000018,0.0020000000000000035,5,1.52,0.007453559924999273,0.0033333333333333214,5.555555555555516e-5,5,-0.7466666666666667,0.007453559924999273,0.0033333333333333214,5.555555555555516e-5,5,0.7466666666666667,0.012534826258539446,0.005605744720048711,1.5712186933177e-4,5,0.012534826258539446,0.005605744720048711,1.5712186933177e-4,5,0.044721359549995635,0.019999999999999928,0.0019999999999999857,5,0.2169383807681681,0.35855761260016505
S002,2,Floor level,2,ROVED,standing,-0.2087260313114455,0.2087260313114455,0.20816659994661327,0.10408329997330663,0.043333333333333335,4,1.25,0.10408329997330663,0.05204164998665332,0.010833333333333334,4,-0.375,0.10408329997330663,0.05204164998665332,0.010833333333333334,4,0.375,0.07344113614683245,0.036720568073416227,0.0053936004785375795,4,0.07344113614683245,0.036720568073416227,0.0053936004785375795,4,0.20816659994661327,0.10408329997330663,0.043333333333333335,4,-0.021902919775260224,1.3343501888182738
S002,2,Floor level,2.9,ROVED,standing,-0.395274328023435,0.395274328023435,0.38340579025361626,0.17146428199482244,0.147,5,1.22,0.13220889319090218,0.05912561448097327,0.01747919143876338,5,-0.5793103448275863,0.13220889319090218,0.05912561448097327,0.01747919143876338,5,0.5793103448275863,0.14908879705576916,0.06667453698007407,0.02222746940753632,5,0.14908879705576916,0.06667453698007407,0.02222746940753632,5,0.3834057902536163,0.17146428199482247,0.14700000000000005,5,-0.021902919775260224,1.3343501888182738
S002,2,Floor level,4.2,ROVED,standing,-0.47832858731855715,0.47832858731855715,0.27748873851023215,0.12409673645990855,0.077,5,1.42,0.06606874726434098,0.029546842014263937,0.0043650793650793634,5,-0.6619047619047619,0.06606874726434098,0.029546842014263937,0.0043650793650793634,5,0.6619047619047619,0.09185973115237149,0.04108092065031155,0.00843821020738597,5,0.09185973115237149,0.04108092065031155,0.00843821020738597,5,0.27748873851023226,0.12409673645990861,0.07700000000000004,5,-0.021902919775260224,1.3343501888182738
S002,2,Floor level,6,ROVED,standing,-0.7940094613463844,0.7940094613463844,0.6145459028149701,0.25088731423578287,0.37766666666666665,6,1.1166666666666667,0.10242431713582831,0.04181455237263046,0.010490740740740733,6,-0.8138888888888889,0.10242431713582831,0.04181455237263046,0.010490740740740733,6,0.8138888888888889,0.26570763082706056,0.10847468604835071,0.0706005450797295,6,0.26570763082706056,0.10847468604835071,0.0706005450797295,6,0.6145459028149701,0.25088731423578287,0.37766666666666665,6,-0.021902919775260224,1.3343501888182738
S002,3,Ear level,2,NORMAL,standing,-0.1402730433751129,0.1402730433751129,0.20736441353327723,0.09273618495495704,0.043000000000000003,5,1.46,0.10368220676663861,0.04636809247747852,0.010750000000000001,5,-0.27,0.10368220676663861,0.04636809247747852,0.010750000000000001,5,0.27,0.06288595414364596,0.02812345365902539,0.003954643228556743,5,0.06288595414364596,0.02812345365902539,0.003954643228556743,5,0.20736441353327723,0.09273618495495704,0.043000000000000003,5,0.045924288477480084,1.121635810997512
S002,3,Ear level,2.9,NORMAL,standing,-0.4797412175468724,0.4797412175468724,0.21679483388678802,0.09695359714832659,0.047000000000000014,5,0.98,0.07475683927130623,0.03343227487873331,0.005588585017835914,5,-0.6620689655172414,0.07475683927130623,0.03343227487873331,0.005588585017835914,5,0.6620689655172414,0.09691170768536642,0.04334023324001362,0.009391879086493908,5,0.09691170768536642,0.04334023324001362,0.009391879086493908,5,0.2167948338867881,0.09695359714832663,0.04700000000000005,5,0.045924288477480084,1.121635810997512
