subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
T001,3,Ear level,2,NORMAL,sitting,0.5477225575051661,0.24494897427831777,0.3,5,1.1,0.27386127875258304,0.12247448713915889,0.075,5,-0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.5477225575051661,0.24494897427831777,0.3,5
T002,3,Ear level,2,NORMAL,sitting,0.4878524367060187,0.21817424229271426,0.238,5,1.26,0.24392621835300934,0.10908712114635713,0.0595,5,-0.37,0.24392621835300934,0.10908712114635713,0.0595,5,0.37,0.4878524367060187,0.21817424229271426,0.238,5
T003,3,Ear level,2,NORMAL,sitting,0.8944271909999159,0.39999999999999997,0.8,5,2.4,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.8944271909999159,0.39999999999999997,0.8,5
T004,3,Ear level,2,NORMAL,sitting,0.33541019662496846,0.15,0.1125,5,0.65,0.16770509831248423,0.075,0.028125,5,-0.675,0.16770509831248423,0.075,0.028125,5,0.675,0.33541019662496846,0.15,0.1125,5
T006,3,Ear level,2,NORMAL,sitting,0.7071067811865476,0.31622776601683794,0.5,5,2,0.3535533905932738,0.15811388300841897,0.125,5,0,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.7071067811865476,0.31622776601683794,0.5,5
T007,3,Ear level,2,NORMAL,sitting,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5
T008,3,Ear level,2,NORMAL,sitting,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.11180339887498948,0.049999999999999996,0.0125,5,-0.7,0.11180339887498948,0.049999999999999996,0.0125,5,0.7,0.22360679774997896,0.09999999999999999,0.05,5
T009,3,Ear level,2,NORMAL,sitting,0.6519202405202649,0.291547594742265,0.425,5,0.9,0.32596012026013244,0.1457737973711325,0.10625,5,-0.55,0.32596012026013244,0.1457737973711325,0.10625,5,0.55,0.6519202405202649,0.291547594742265,0.425,5
T010,3,Ear level,2,NORMAL,sitting,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.6,0.13693063937629152,0.06123724356957944,0.01875,5,0.6,0.27386127875258304,0.12247448713915889,0.075,5
T011,3,Ear level,2,NORMAL,sitting,0.22360679774997896,0.09999999999999999,0.05,5,1.1,0.11180339887498948,0.049999999999999996,0.0125,5,-0.45,0.11180339887498948,0.049999999999999996,0.0125,5,0.45,0.22360679774997896,0.09999999999999999,0.05,5
T012,3,Ear level,2,NORMAL,sitting,0.44721359549995793,0.19999999999999998,0.2,5,3.2,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.44721359549995793,0.19999999999999998,0.2,5
T013,3,Ear level,2,NORMAL,sitting,0.19493588689617924,0.08717797887081345,0.03799999999999999,5,0.44,0.09746794344808964,0.04358898943540673,0.0095,5,-0.78,0.09746794344808964,0.04358898943540673,0.0095,5,0.78,0.19493588689617927,0.08717797887081347,0.038,5
T001,0,Floor level,2,NORMAL,sitting,0,0,0,4,1,0,0,0,4,-0.5,0,0,0,4,0.5,0,0,0,4
T002,0,Floor level,2,NORMAL,sitting,0.25,0.125,0.0625,4,1.875,0.125,0.0625,0.015625,4,-0.0625,0.125,0.0625,0.015625,4,0.0625,0.25,0.125,0.0625,4
T003,0,Floor level,2,NORMAL,sitting,0.535723809439155,0.2395829710142188,0.28700000000000003,5,1.18,0.2678619047195775,0.1197914855071094,0.07175000000000001,5,-0.41,0.22527760652137618,0.1007472083980494,0.050749999999999997,5,0.43,0.535723809439155,0.2395829710142188,0.28700000000000003,5
T004,0,Floor level,2,NORMAL,sitting,0.1604680653588121,0.07176350047203661,0.02575,5,0.22,0.08023403267940607,0.03588175023601831,0.0064375000000000005,5,-0.89,0.08023403267940607,0.03588175023601831,0.0064375000000000005,5,0.89,0.16046806535881214,0.07176350047203663,0.025750000000000002,5
T006,0,Floor level,2,NORMAL,sitting,0.5,0.25,0.25,4,1.75,0.25,0.125,0.0625,4,-0.125,0.25,0.125,0.0625,4,0.125,0.5,0.25,0.25,4
T007,0,Floor level,2,NORMAL,sitting,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5
T008,0,Floor level,2,NORMAL,sitting,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.54,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,-0.73,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,0.73,0.08944271909999157,0.039999999999999994,0.007999999999999997,5
T009,0,Floor level,2,NORMAL,sitting,0,0,0,6,0.5,0,0,0,6,-0.75,0,0,0,6,0.75,0,0,0,6
T010,0,Floor level,2,NORMAL,sitting,0.3915780041490244,0.1957890020745122,0.15333333333333335,4,0.6,0.19578900207451216,0.09789450103725608,0.03833333333333333,4,-0.7,0.19578900207451216,0.09789450103725608,0.03833333333333333,4,0.7,0.39157800414902433,0.19578900207451216,0.15333333333333332,4
T011,0,Floor level,2,NORMAL,sitting,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5
T012,0,Floor level,2,NORMAL,sitting,0.44721359549995793,0.19999999999999998,0.2,5,1.8,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.44721359549995793,0.19999999999999998,0.2,5
T013,0,Floor level,2,NORMAL,sitting,0.05163977794943221,0.021081851067789193,0.0026666666666666653,6,0.5333333333333333,0.025819888974716137,0.010540925533894609,6.666666666666678e-4,6,-0.7333333333333333,0.025819888974716137,0.010540925533894609,6.666666666666678e-4,6,0.7333333333333333,0.051639777949432274,0.021081851067789217,0.0026666666666666713,6
T001,3,Ear level,2.9,NORMAL,sitting,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,-0.7241379310344828,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,0.7241379310344828,0.27386127875258304,0.12247448713915889,0.075,5
T002,3,Ear level,2.9,NORMAL,sitting,0.44721359549995793,0.19999999999999998,0.2,5,2.3,0.1542115846551579,0.06896551724137931,0.023781212841854932,5,-0.2068965517241379,0.12809776290349453,0.057287061123572916,0.016409036860879897,5,0.22068965517241376,0.44721359549995793,0.19999999999999998,0.2,5
