"nsub" "bloque" "altura" "condicion" "trial" "distancia" "respuesta" "condicion_posicion" "condicion_sonido"
1 3 1 0 4 6 2.5 "CABEZA" "NORMAL"
1 3 1 0 1 2 0.05 "CABEZA" "NORMAL"
1 3 1 0 2 2.9 0.03 "CABEZA" "NORMAL"
1 3 1 0 1 2 0.02 "CABEZA" "NORMAL"
1 3 1 0 3 4.2 0.01 "CABEZA" "NORMAL"
1 3 1 0 1 2 0.015 "CABEZA" "NORMAL"
1 3 1 0 4 6 4 "CABEZA" "NORMAL"
1 3 1 0 4 6 5 "CABEZA" "NORMAL"
1 3 1 0 1 2 1 "CABEZA" "NORMAL"
1 3 1 0 3 4.2 0.03 "CABEZA" "NORMAL"
1 3 1 0 2 2.9 0.01 "CABEZA" "NORMAL"
1 3 1 0 4 6 2 "CABEZA" "NORMAL"
1 3 1 0 3 4.2 4 "CABEZA" "NORMAL"
1 3 1 0 3 4.2 5 "CABEZA" "NORMAL"
1 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
1 3 1 0 4 6 5 "CABEZA" "NORMAL"
1 3 1 0 3 4.2 2.5 "CABEZA" "NORMAL"
1 3 1 0 2 2.9 1 "CABEZA" "NORMAL"
1 3 1 0 1 2 1.5 "CABEZA" "NORMAL"
1 3 1 0 2 2.9 0.1 "CABEZA" "NORMAL"
1 5 1 2 2 2.9 0.1 "CABEZA" "ROVED"
1 5 1 2 2 2.9 0.1 "CABEZA" "ROVED"
1 5 1 2 3 4.2 0.25 "CABEZA" "ROVED"
1 5 1 2 1 2 0.1 "CABEZA" "ROVED"
1 5 1 2 3 4.2 1 "CABEZA" "ROVED"
1 5 1 2 3 4.2 0.5 "CABEZA" "ROVED"
1 5 1 2 3 4.2 0.55 "CABEZA" "ROVED"
1 5 1 2 2 2.9 0.45 "CABEZA" "ROVED"
1 5 1 2 4 6 1 "CABEZA" "ROVED"
1 5 1 2 1 2 0.2 "CABEZA" "ROVED"
1 5 1 2 4 6 0.6 "CABEZA" "ROVED"
1 5 1 2 2 2.9 0.6 "CABEZA" "ROVED"
1 5 1 2 3 4.2 0.55 "CABEZA" "ROVED"
1 5 1 2 4 6 0.65 "CABEZA" "ROVED"
1 5 1 2 4 6 0.35 "CABEZA" "ROVED"
1 5 1 2 2 2.9 0.35 "CABEZA" "ROVED"
1 5 1 2 1 2 0.2 "CABEZA" "ROVED"
1 5 1 2 1 2 0.1 "CABEZA" "ROVED"
1 5 1 2 2 2.9 0.05 "CABEZA" "ROVED"
1 5 1 2 1 2 0.05 "CABEZA" "ROVED"
1 0 0 0 1 2 0.1 "PISO" "NORMAL"
1 0 0 0 4 6 0.2 "PISO" "NORMAL"
1 0 0 0 1 2 0.05 "PISO" "NORMAL"
1 0 0 0 2 2.9 0.15 "PISO" "NORMAL"
1 0 0 0 1 2 0.6 "PISO" "NORMAL"
1 0 0 0 4 6 0.1 "PISO" "NORMAL"
1 0 0 0 2 2.9 0.15 "PISO" "NORMAL"
1 0 0 0 3 4.2 0.5 "PISO" "NORMAL"
1 0 0 0 3 4.2 0.55 "PISO" "NORMAL"
1 0 0 0 1 2 0.2 "PISO" "NORMAL"
1 0 0 0 1 2 0.1 "PISO" "NORMAL"
1 0 0 0 4 6 0.16 "PISO" "NORMAL"
1 0 0 0 2 2.9 0.2 "PISO" "NORMAL"
1 0 0 0 1 2 0.1 "PISO" "NORMAL"
1 0 0 0 2 2.9 0.15 "PISO" "NORMAL"
1 0 0 0 2 2.9 0.15 "PISO" "NORMAL"
1 0 0 0 3 4.2 0.25 "PISO" "NORMAL"
1 0 0 0 4 6 0.3 "PISO" "NORMAL"
1 0 0 0 3 4.2 0.27 "PISO" "NORMAL"
1 0 0 0 3 4.2 0.25 "PISO" "NORMAL"
1 2 0 2 3 4.2 0.3 "PISO" "ROVED"
1 2 0 2 3 4.2 0.3 "PISO" "ROVED"
1 2 0 2 2 2.9 0.25 "PISO" "ROVED"
1 2 0 2 4 6 0.25 "PISO" "ROVED"
1 2 0 2 3 4.2 0.3 "PISO" "ROVED"
1 2 0 2 1 2 0.15 "PISO" "ROVED"
1 2 0 2 2 2.9 0.15 "PISO" "ROVED"
1 2 0 2 3 4.2 0.25 "PISO" "ROVED"
1 2 0 2 4 6 0.35 "PISO" "ROVED"
1 2 0 2 1 2 0.16 "PISO" "ROVED"
1 2 0 2 1 2 0.16 "PISO" "ROVED"
1 2 0 2 2 2.9 0.2 "PISO" "ROVED"
1 2 0 2 2 2.9 0.25 "PISO" "ROVED"
1 2 0 2 4 6 0.3 "PISO" "ROVED"
1 2 0 2 3 4.2 0.35 "PISO" "ROVED"
1 2 0 2 1 2 0.05 "PISO" "ROVED"
1 2 0 2 4 6 0.1 "PISO" "ROVED"
1 2 0 2 3 4.2 0.1 "PISO" "ROVED"
1 2 0 2 2 2.9 0.15 "PISO" "ROVED"
1 2 0 2 1 2 0.06 "PISO" "ROVED"
2 3 1 0 1 2 1.6 "CABEZA" "NORMAL"
2 3 1 0 1 2 1.5 "CABEZA" "NORMAL"
2 3 1 0 2 2.9 1 "CABEZA" "NORMAL"
2 3 1 0 4 6 1.3 "CABEZA" "NORMAL"
2 3 1 0 3 4.2 1.2 "CABEZA" "NORMAL"
2 3 1 0 4 6 1.6 "CABEZA" "NORMAL"
2 3 1 0 3 4.2 0.8 "CABEZA" "NORMAL"
2 3 1 0 1 2 1.7 "CABEZA" "NORMAL"
2 3 1 0 4 6 1.8 "CABEZA" "NORMAL"
2 3 1 0 3 4.2 1 "CABEZA" "NORMAL"
2 3 1 0 2 2.9 0.7 "CABEZA" "NORMAL"
2 3 1 0 3 4.2 1.6 "CABEZA" "NORMAL"
2 3 1 0 4 6 1.3 "CABEZA" "NORMAL"
2 3 1 0 4 6 1.5 "CABEZA" "NORMAL"
2 3 1 0 1 2 1.3 "CABEZA" "NORMAL"
2 3 1 0 1 2 1.2 "CABEZA" "NORMAL"
