subject;block;trial;target_distance;percived_distance;condition;type
1;3;4;6;2.5;Ear level;NORMAL
1;3;1;2;0.05;Ear level;NORMAL
1;3;2;2.9;0.03;Ear level;NORMAL
1;3;1;2;0.02;Ear level;NORMAL
1;3;3;4.2;0.01;Ear level;NORMAL
1;3;1;2;0.015;Ear level;NORMAL
1;3;4;6;4;Ear level;NORMAL
1;3;4;6;5;Ear level;NORMAL
1;3;1;2;1;Ear level;NORMAL
1;3;3;4.2;0.03;Ear level;NORMAL
1;3;2;2.9;0.01;Ear level;NORMAL
1;3;4;6;2;Ear level;NORMAL
1;3;3;4.2;4;Ear level;NORMAL
1;3;3;4.2;5;Ear level;NORMAL
1;3;2;2.9;2;Ear level;NORMAL
1;3;4;6;5;Ear level;NORMAL
1;3;3;4.2;2.5;Ear level;NORMAL
1;3;2;2.9;1;Ear level;NORMAL
1;3;1;2;1.5;Ear level;NORMAL
1;3;2;2.9;0.1;Ear level;NORMAL
1;5;2;2.9;0.1;Ear level;ROVED
1;5;2;2.9;0.1;Ear level;ROVED
1;5;3;4.2;0.25;Ear level;ROVED
1;5;1;2;0.1;Ear level;ROVED
1;5;3;4.2;1;Ear level;ROVED
1;5;3;4.2;0.5;Ear level;ROVED
1;5;3;4.2;0.55;Ear level;ROVED
1;5;2;2.9;0.45;Ear level;ROVED
1;5;4;6;1;Ear level;ROVED
1;5;1;2;0.2;Ear level;ROVED
1;5;4;6;0.6;Ear level;ROVED
1;5;2;2.9;0.6;Ear level;ROVED
1;5;3;4.2;0.55;Ear level;ROVED
1;5;4;6;0.65;Ear level;ROVED
1;5;4;6;0.35;Ear level;ROVED
1;5;2;2.9;0.35;Ear level;ROVED
1;5;1;2;0.2;Ear level;ROVED
1;5;1;2;0.1;Ear level;ROVED
1;5;2;2.9;0.05;Ear level;ROVED
1;5;1;2;0.05;Ear level;ROVED
1;0;1;2;0.1;Floor level;NORMAL
1;0;4;6;0.2;Floor level;NORMAL
1;0;1;2;0.05;Floor level;NORMAL
1;0;2;2.9;0.15;Floor level;NORMAL
1;0;1;2;0.6;Floor level;NORMAL
1;0;4;6;0.1;Floor level;NORMAL
1;0;2;2.9;0.15;Floor level;NORMAL
1;0;3;4.2;0.5;Floor level;NORMAL
1;0;3;4.2;0.55;Floor level;NORMAL
1;0;1;2;0.2;Floor level;NORMAL
1;0;1;2;0.1;Floor level;NORMAL
1;0;4;6;0.16;Floor level;NORMAL
1;0;2;2.9;0.2;Floor level;NORMAL
1;0;1;2;0.1;Floor level;NORMAL
1;0;2;2.9;0.15;Floor level;NORMAL
1;0;2;2.9;0.15;Floor level;NORMAL
1;0;3;4.2;0.25;Floor level;NORMAL
1;0;4;6;0.3;Floor level;NORMAL
1;0;3;4.2;0.27;Floor level;NORMAL
1;0;3;4.2;0.25;Floor level;NORMAL
1;2;3;4.2;0.3;Floor level;ROVED
1;2;3;4.2;0.3;Floor level;ROVED
1;2;2;2.9;0.25;Floor level;ROVED
1;2;4;6;0.25;Floor level;ROVED
1;2;3;4.2;0.3;Floor level;ROVED
1;2;1;2;0.15;Floor level;ROVED
1;2;2;2.9;0.15;Floor level;ROVED
1;2;3;4.2;0.25;Floor level;ROVED
1;2;4;6;0.35;Floor level;ROVED
1;2;1;2;0.16;Floor level;ROVED
1;2;1;2;0.16;Floor level;ROVED
1;2;2;2.9;0.2;Floor level;ROVED
1;2;2;2.9;0.25;Floor level;ROVED
1;2;4;6;0.3;Floor level;ROVED
1;2;3;4.2;0.35;Floor level;ROVED
1;2;1;2;0.05;Floor level;ROVED
1;2;4;6;0.1;Floor level;ROVED
1;2;3;4.2;0.1;Floor level;ROVED
1;2;2;2.9;0.15;Floor level;ROVED
1;2;1;2;0.06;Floor level;ROVED
2;3;1;2;1.6;Ear level;NORMAL
2;3;1;2;1.5;Ear level;NORMAL
2;3;2;2.9;1;Ear level;NORMAL
2;3;4;6;1.3;Ear level;NORMAL
2;3;3;4.2;1.2;Ear level;NORMAL
2;3;4;6;1.6;Ear level;NORMAL
2;3;3;4.2;0.8;Ear level;NORMAL
2;3;1;2;1.7;Ear level;NORMAL
2;3;4;6;1.8;Ear level;NORMAL
2;3;3;4.2;1;Ear level;NORMAL
2;3;2;2.9;0.7;Ear level;NORMAL
2;3;3;4.2;1.6;Ear level;NORMAL
2;3;4;6;1.3;Ear level;NORMAL
2;3;4;6;1.5;Ear level;NORMAL
2;3;1;2;1.3;Ear level;NORMAL
2;3;1;2;1.2;Ear level;NORMAL
2;3;3;4.2;1.6;Ear level;NORMAL
2;3;2;2.9;0.9;Ear level;NORMAL
2;3;2;2.9;1.3;Ear level;NORMAL
2;3;2;2.9;1;Ear level;NORMAL
2;5;3;4.2;1.3;Ear level;ROVED
2;5;3;4.2;1.9;Ear level;ROVED
2;5;1;2;1.5;Ear level;ROVED
2;5;3;4.2;0.4;Ear level;ROVED
2;5;2;2.9;0.5;Ear level;ROVED
2;5;4;6;1.6;Ear level;ROVED
2;5;4;6;1;Ear level;ROVED
2;5;1;2;1.4;Ear level;ROVED
2;5;2;2.9;1.5;Ear level;ROVED
2;5;2;2.9;1;Ear level;ROVED
2;5;2;2.9;1.6;Ear level;ROVED
2;5;1;2;0.4;Ear level;ROVED
2;5;3;4.2;1.3;Ear level;ROVED
2;5;3;4.2;1.6;Ear level;ROVED
2;5;2;2.9;1;Ear level;ROVED
2;5;3;4.2;1.6;Ear level;ROVED
2;5;4;6;1.6;Ear level;ROVED
2;5;4;6;1;Ear level;ROVED
2;5;4;6;1;Ear level;ROVED
2;5;1;2;1.4;Ear level;ROVED
2;0;2;2.9;1;Floor level;NORMAL
2;0;4;6;1.5;Floor level;NORMAL
2;0;3;4.2;1.4;Floor level;NORMAL
2;0;4;6;1.5;Floor level;NORMAL
2;0;4;6;1.5;Floor level;NORMAL
2;0;1;2;0.5;Floor level;NORMAL
2;0;1;2;1;Floor level;NORMAL
2;0;3;4.2;1.8;Floor level;NORMAL
2;0;3;4.2;1.8;Floor level;NORMAL
2;0;1;2;0.6;Floor level;NORMAL
2;0;2;2.9;1;Floor level;NORMAL
2;0;2;2.9;1;Floor level;NORMAL
2;0;1;2;0.7;Floor level;NORMAL
2;0;2;2.9;0.5;Floor level;NORMAL
2;0;3;4.2;1.2;Floor level;NORMAL
2;0;4;6;1.5;Floor level;NORMAL
2;0;2;2.9;1;Floor level;NORMAL
2;0;4;6;1.6;Floor level;NORMAL
2;0;3;4.2;1.5;Floor level;NORMAL
2;0;2;2.9;1.2;Floor level;NORMAL
2;2;4;6;1.7;Floor level;ROVED
2;2;3;4.2;1;Floor level;ROVED
2;2;2;2.9;0.7;Floor level;ROVED
2;2;3;4.2;1.5;Floor level;ROVED
2;2;3;4.2;1.3;Floor level;ROVED
2;2;4;6;1.8;Floor level;ROVED
2;2;4;6;0.5;Floor level;ROVED
2;2;1;2;1.5;Floor level;ROVED
2;2;1;2;1;Floor level;ROVED
2;2;3;4.2;1.7;Floor level;ROVED
2;2;4;6;1.5;Floor level;ROVED
2;2;2;2.9;1;Floor level;ROVED
2;2;3;4.2;1.6;Floor level;ROVED
2;2;2;2.9;1.7;Floor level;ROVED
2;2;4;6;0.5;Floor level;ROVED
2;2;1;2;1.3;Floor level;ROVED
2;2;2;2.9;1.4;Floor level;ROVED
2;2;1;2;1.2;Floor level;ROVED
2;2;4;6;0.7;Floor level;ROVED
2;2;2;2.9;1.3;Floor level;ROVED
3;3;2;2.9;3;Ear level;NORMAL
3;3;4;6;0.07;Ear level;NORMAL
3;3;2;2.9;4;Ear level;NORMAL
3;3;3;4.2;1;Ear level;NORMAL
3;3;3;4.2;5;Ear level;NORMAL
3;3;2;2.9;7;Ear level;NORMAL
3;3;2;2.9;0.06;Ear level;NORMAL
3;3;3;4.2;0.11;Ear level;NORMAL
3;3;1;2;0.1;Ear level;NORMAL
3;3;4;6;7;Ear level;NORMAL
3;3;1;2;2;Ear level;NORMAL
3;3;4;6;13;Ear level;NORMAL
3;3;4;6;15;Ear level;NORMAL
3;3;1;2;14;Ear level;NORMAL
3;3;3;4.2;13;Ear level;NORMAL
3;3;1;2;17;Ear level;NORMAL
3;3;4;6;20;Ear level;NORMAL
3;3;1;2;7;Ear level;NORMAL
3;3;3;4.2;4;Ear level;NORMAL
3;3;2;2.9;3;Ear level;NORMAL
3;5;4;6;7;Ear level;ROVED
3;5;1;2;3;Ear level;ROVED
3;5;4;6;5;Ear level;ROVED
3;5;2;2.9;7;Ear level;ROVED
3;5;2;2.9;4;Ear level;ROVED
3;5;3;4.2;2;Ear level;ROVED
3;5;1;2;9;Ear level;ROVED
3;5;1;2;8;Ear level;ROVED
3;5;1;2;6;Ear level;ROVED
3;5;2;2.9;3;Ear level;ROVED
3;5;4;6;7;Ear level;ROVED
3;5;4;6;6;Ear level;ROVED
3;5;3;4.2;10;Ear level;ROVED
3;5;3;4.2;2;Ear level;ROVED
3;5;3;4.2;12;Ear level;ROVED
3;5;1;2;13;Ear level;ROVED
3;5;4;6;2;Ear level;ROVED
3;5;4;6;15;Ear level;ROVED
3;5;2;2.9;5;Ear level;ROVED
3;5;3;4.2;14;Ear level;ROVED
3;0;3;4.2;4;Floor level;NORMAL
3;0;2;2.9;2;Floor level;NORMAL
3;0;1;2;3;Floor level;NORMAL
3;0;3;4.2;1;Floor level;NORMAL
3;0;4;6;6;Floor level;NORMAL
3;0;2;2.9;7;Floor level;NORMAL
3;0;4;6;10;Floor level;NORMAL
3;0;4;6;12;Floor level;NORMAL
3;0;1;2;1;Floor level;NORMAL
3;0;2;2.9;3;Floor level;NORMAL
3;0;1;2;2;Floor level;NORMAL
3;0;3;4.2;4;Floor level;NORMAL
3;0;1;2;1;Floor level;NORMAL
3;0;3;4.2;6;Floor level;NORMAL
3;0;4;6;4;Floor level;NORMAL
3;0;4;6;6;Floor level;NORMAL
3;0;2;2.9;2;Floor level;NORMAL
3;0;3;4.2;5;Floor level;NORMAL
3;0;1;2;1;Floor level;NORMAL
3;0;3;4.2;2;Floor level;NORMAL
3;2;1;2;4;Floor level;ROVED
3;2;4;6;2;Floor level;ROVED
3;2;1;2;1;Floor level;ROVED
3;2;3;4.2;3;Floor level;ROVED
3;2;4;6;2;Floor level;ROVED
3;2;2;2.9;3;Floor level;ROVED
3;2;3;4.2;5;Floor level;ROVED
3;2;4;6;15;Floor level;ROVED
3;2;3;4.2;12;Floor level;ROVED
3;2;1;2;4;Floor level;ROVED
3;2;3;4.2;6;Floor level;ROVED
3;2;2;2.9;7;Floor level;ROVED
3;2;4;6;3;Floor level;ROVED
3;2;2;2.9;4;Floor level;ROVED
3;2;2;2.9;8;Floor level;ROVED
3;2;3;4.2;2;Floor level;ROVED
3;2;1;2;3;Floor level;ROVED
3;2;1;2;4;Floor level;ROVED
3;2;4;6;13;Floor level;ROVED
3;2;1;2;7;Floor level;ROVED
4;3;3;4.2;3;Ear level;NORMAL
4;3;4;6;3;Ear level;NORMAL
4;3;2;2.9;3;Ear level;NORMAL
4;3;1;2;3;Ear level;NORMAL
4;3;4;6;2.5;Ear level;NORMAL
4;3;2;2.9;2;Ear level;NORMAL
4;3;1;2;2;Ear level;NORMAL
4;3;1;2;2;Ear level;NORMAL
4;3;4;6;2.5;Ear level;NORMAL
4;3;3;4.2;3;Ear level;NORMAL
4;3;2;2.9;2;Ear level;NORMAL
4;3;3;4.2;2;Ear level;NORMAL
4;3;3;4.2;3;Ear level;NORMAL
4;3;2;2.9;2.5;Ear level;NORMAL
4;3;3;4.2;2.5;Ear level;NORMAL
4;3;2;2.9;3;Ear level;NORMAL
4;3;1;2;3;Ear level;NORMAL
4;3;1;2;3.5;Ear level;NORMAL
4;3;4;6;3.5;Ear level;NORMAL
4;3;4;6;3.5;Ear level;NORMAL
4;5;1;2;2;Ear level;ROVED
4;5;2;2.9;1.5;Ear level;ROVED
4;5;1;2;2;Ear level;ROVED
4;5;1;2;2.5;Ear level;ROVED
4;5;3;4.2;3;Ear level;ROVED
4;5;3;4.2;2;Ear level;ROVED
4;5;1;2;3;Ear level;ROVED
4;5;4;6;3;Ear level;ROVED
4;5;3;4.2;2.5;Ear level;ROVED
4;5;2;2.9;3;Ear level;ROVED
4;5;2;2.9;3;Ear level;ROVED
4;5;4;6;3;Ear level;ROVED
4;5;4;6;2.5;Ear level;ROVED
4;5;2;2.9;2.5;Ear level;ROVED
4;5;4;6;3.2;Ear level;ROVED
4;5;4;6;3;Ear level;ROVED
4;5;3;4.2;3.2;Ear level;ROVED
4;5;1;2;3;Ear level;ROVED
4;5;1;2;3.5;Ear level;ROVED
4;5;2;2.9;2.8;Ear level;ROVED
4;0;4;6;2.5;Floor level;NORMAL
