nsub,bloque,altura,condicion,itrial,distancia,respuesta
13.0,2.0,0.0,2.0,3.0,4.2,2.0
13.0,2.0,0.0,2.0,4.0,6.0,1.0
13.0,2.0,0.0,2.0,3.0,4.2,2.0
13.0,2.0,0.0,2.0,2.0,2.9,2.0
13.0,2.0,0.0,2.0,2.0,2.9,2.0
13.0,2.0,0.0,2.0,1.0,2.0,1.0
13.0,2.0,0.0,2.0,4.0,6.0,8.0
13.0,2.0,0.0,2.0,4.0,6.0,5.0
13.0,2.0,0.0,2.0,3.0,4.2,3.0
13.0,2.0,0.0,2.0,3.0,4.2,2.3
13.0,2.0,0.0,2.0,1.0,2.0,1.0
13.0,2.0,0.0,2.0,2.0,2.9,0.5
13.0,2.0,0.0,2.0,3.0,4.2,6.0
13.0,2.0,0.0,2.0,2.0,2.9,1.0
13.0,2.0,0.0,2.0,1.0,2.0,0.5
13.0,2.0,0.0,2.0,3.0,4.2,1.0
13.0,2.0,0.0,2.0,1.0,2.0,0.5
13.0,2.0,0.0,2.0,4.0,6.0,6.0
13.0,2.0,0.0,2.0,2.0,2.9,3.0
13.0,2.0,0.0,2.0,1.0,2.0,0.5
