nsub,bloque,altura,condicion,itrial,distancia,respuesta
3.0,0.0,0.0,0.0,3.0,4.2,4.0
3.0,0.0,0.0,0.0,2.0,2.9,2.0
3.0,0.0,0.0,0.0,1.0,2.0,3.0
3.0,0.0,0.0,0.0,3.0,4.2,1.0
3.0,0.0,0.0,0.0,4.0,6.0,6.0
3.0,0.0,0.0,0.0,2.0,2.9,7.0
3.0,0.0,0.0,0.0,4.0,6.0,10.0
3.0,0.0,0.0,0.0,4.0,6.0,12.0
3.0,0.0,0.0,0.0,1.0,2.0,1.0
3.0,0.0,0.0,0.0,2.0,2.9,3.0
3.0,0.0,0.0,0.0,1.0,2.0,2.0
3.0,0.0,0.0,0.0,3.0,4.2,4.0
3.0,0.0,0.0,0.0,1.0,2.0,1.0
3.0,0.0,0.0,0.0,3.0,4.2,6.0
3.0,0.0,0.0,0.0,4.0,6.0,4.0
3.0,0.0,0.0,0.0,4.0,6.0,6.0
3.0,0.0,0.0,0.0,2.0,2.9,2.0
3.0,0.0,0.0,0.0,3.0,4.2,5.0
3.0,0.0,0.0,0.0,1.0,2.0,1.0
3.0,0.0,0.0,0.0,3.0,4.2,2.0
